Average of viollevel,,Column Labels,,,,,
Row Labels,neighborhood,2015,2016,2017,2018,2019,Grand Total
,ROXBURY,,,0,1.8,1.666666667,1.461538462
FIN'S SUSHI & GRILL,BOSTON,1.684210526,1.740740741,1.957446809,1.5,1.333333333,1.715789474
The West Ender,BOSTON,,,0,1.8,,1.714285714
Ueno Sushi,BOSTON,0,1.714285714,1.769230769,2,,1.714285714
STATE ST/FINANCIAL CENTER(CAFETERIA),BOSTON,,0,3,0,0,1.714285714
The Westin Boston Waterfront/Starbucks,BOSTON,0,3,0,0,,1.714285714
Phinix Grill Mediterranean,BOSTON,,,0,2,,1.714285714
Honeygrow,BOSTON,,,0,1.914285714,1,1.714285714
Hall,BOSTON,,,0,2.181818182,1.5,1.714285714
Jubali Farmacy,BOSTON,,,1.538461538,2,,1.714285714
KAREN MARKET,EAST BOSTON,1.5,1.875,1.5,1.875,,1.714285714
Breaking New Ground Cafe,ROXBURY,,,1.777777778,1.6,,1.714285714
Sakura Japan,BOSTON,1.666666667,1,1.933333333,2,1.5,1.711111111
Aguasvivas Market,DORCHESTER,,1.787878788,0,1.5,,1.710526316
Molinari's,DORCHESTER,,1,1,2.073170732,,1.709677419
El Barrio Mexican Grill,DORCHESTER,1,1.4,1,2.060606061,1.941176471,1.709302326
PROVIDENCE HOUSE SENIOR COMM.,BRIGHTON,1,1.6,1,2.166666667,,1.708333333
Market Cafe,BOSTON,,,,2.333333333,,2.333333333
,EAST BOSTON,2,0,1.555555556,0,0,1.333333333
Umai Japanese Restaurant,BOSTON,1.541666667,1.736842105,1.666666667,1.909090909,,1.705882353
Saltie Girl,BOSTON,,2.111111111,1.5,1,,1.705882353
Dine Boston,EAST BOSTON,1,1.7,0,2.5,,1.703703704
Bella Vista,BOSTON,1.090909091,2.5,2,0.8,2.5,1.703703704
Blessing God African/Amer Mkt,HYDE PARK,1.666666667,1.888888889,0,1,,1.703703704
Pellinos Ristorante,BOSTON,1.620689655,2,1.625,2.5,0,1.70212766
Santouka,BOSTON,,1.666666667,1.608695652,1.785714286,,1.701754386
Museum of Science,BOSTON,2.142857143,1.888888889,2.090909091,1.5,1,1.701754386
PHO AND I  INC.,BOSTON,2.103448276,1.692307692,1.5,1.533333333,1,1.700729927
Moyzilla,BOSTON,1.857142857,2,2,1.444444444,,1.7
Fat Baby Sushi,BOSTON,,,0,1.888888889,,1.7
Edible Arrangements,SOUTH BOSTON,0,3,1.428571429,2,2.333333333,1.965517241
,WEST ROXBURY,1.769230769,0,1.166666667,0,2,1.451612903
Four Winds,BOSTON,1.846153846,1.666666667,,0,,1.7
Habibi's Lounge,ALLSTON,1.615384615,1.142857143,2.5,1.666666667,1.8,1.7
BOSTON COLLEGE CLUB,BOSTON,1,2,1.8,1,,1.7
Chutney's,BOSTON,2.142857143,1.933333333,1,1.333333333,1.8,1.698412698
Ward 8,BOSTON,0,,2,1.846153846,1,1.696969697
La Despensa de Don Pedro,EAST BOSTON,1.9,1.782608696,1.421052632,1.5,,1.696969697
Wabora,BOSTON,1.571428571,1.824561404,1.4,1.769230769,,1.695906433
Pat's Place,BOSTON,1.75,1.666666667,1.285714286,1.857142857,,1.695652174
B.U.Dining Srvices-1st fl.,BOSTON,2.125,1.25,3,0.5,,1.694444444
Sushi Kappo,BOSTON,,,1,1.777777778,1.689655172,1.693877551
The Greatest Bar,BOSTON,1.785714286,1.428571429,2.333333333,1.3,,1.693181818
Posto,BOSTON,1.888888889,1,1.4,2,0,1.692307692
Aceituna Grill,BOSTON,,,1.428571429,2,2,1.692307692
Rinconcito Salvadoreno,EAST BOSTON,1.466666667,1.923076923,1.25,2.333333333,,1.69047619
Sapient Corp. Aramark Coffee Bar,BOSTON,1.823529412,2,0.5,0.5,,1.689655172
Metropolitan In Town Restaurant Bar,BOSTON,1.733333333,,1.5,2,,1.689655172
CAPPY'S PIZZA & SUBS,BOSTON,1.5,2,2.75,1.411764706,,1.689655172
New Dong Khanh Restaurant,BOSTON,,1.423076923,1,2.333333333,2.333333333,1.688888889
Charley's Philly Steaks,BOSTON,0,1.444444444,2.2,1.923076923,1,1.688888889
